,JobCategory_ID,Job_Title,Company,City,TechHub_ID
188,3,Freelance Social Media Manager,Wingspan,Greater NYC Area,5
189,3,Growth Marketing Lead,Wingspan,Greater NYC Area,5
190,3,Marketing Operations Manager,Hinge Health,San Francisco,6
191,3,Content Marketing Manager,Recurly,San Francisco,6
192,3,Senior Product Marketing Manager,Rally Health,San Francisco,6
193,3,Audience Marketing Manager - Commercial/GES,Cisco Meraki,San Francisco,6
194,3,Product Marketing Manager - Switching,Cisco Meraki,San Francisco,6
195,3,Community Marketing Coordinator,Discord,San Francisco,6
196,3,"Engagement Marketing Manager, CRM",Instacart,San Francisco,6
197,3,"Director, Consumer Insights",DoorDash,San Francisco,6
198,3,Audience Marketing Manager - Commercial/GES,Cisco Meraki,San Francisco,6
199,3,Product Marketing Manager - Switching,Cisco Meraki,San Francisco,6
200,3,Marketing Operations Manager,Hinge Health,San Francisco,6
201,3,Director of Communications,Discord,San Francisco,6
202,3,Community Marketing Coordinator,Discord,San Francisco,6
203,3,Audience Marketing Manager - Commercial/GES,Cisco Meraki,San Francisco,6
204,3,Product Marketing Manager - Switching,Cisco Meraki,San Francisco,6
205,3,Audience Marketing Manager - Commercial/GES,Cisco Meraki,San Francisco,6
206,3,Director of Customer Acquisition,HomeLight,San Francisco,6
207,3,Technical Product Marketing Manager,CircleCI,San Francisco,6
208,3,Product Marketing Manager - Switching,Cisco Meraki,San Francisco,6
209,3,"Sr. Marketing Manager, Global Lifecycle Events",Cisco Meraki,San Francisco,6
210,3,"Product Marketing Lead, Benefits",Gusto,San Francisco,6
211,3,Director of Communications,Discord,San Francisco,6
212,3,"Senior Compliance Associate, Marketing",Chime,San Francisco,6
213,3,Audience Marketing Manager - Commercial/GES,Cisco Meraki,San Francisco,6
214,3,Product Marketing Manager - Switching,Cisco Meraki,San Francisco,6
215,3,"Senior Marketing Manager, Pharmaceutical Solutions",Navigating Cancer,Seattle,7
216,3,Senior Marketing Manager,Ekata,Seattle,7
217,3,Senior Product Marketing Manager,Axon,Seattle,7
218,3,"Marketing Operations Specialist (Remote, Contractor)",Databricks,Seattle,7
219,3,"Senior Content Marketing Manager, Cloud Services",Unity Technologies,Bellevue,7
220,4,Accounting Associate,Milyli,Chicago,2
221,4,Controller,Home Chef,Chicago,2
222,4,Head of Accounting,Clearcover,Chicago,2
223,4,"Director, Internal Audit",OppLoans,Chicago,2
224,4,Fraud Operations Manager,M1 Finance,Chicago,2
225,4,Senior Revenue Accountant,Nuance,Greater Boston Area,1
226,4,Staff Accountant,Examity,Newton,1
227,4,Revenue Manager,Fuze,Greater Boston Area,1
228,4,Venture Capital Operations Analyst,MassMutual,Greater Boston Area,1
229,4,Staff Accountant,Indigo,Greater Boston Area,1
230,4,Escrow Assistant,Orchard,Austin,0
