,TechHub_Name,Rent_OneBedroom,Lunch_Price,Median_HomePrice,Population,Number_TechCompanies,Industry_1,Industry_2,Industry_3
0,Austin,"b'$1,329'",$14,"$371,900","950,715","2,680",0,1,2
1,Boston,"b'$2,440'",$15,"$592,300",698898,2335,3,4,5
2,Chicago,"b'$1,504'",$15,"$226,500",2749360,6003,6,7,8
3,Colorado,"b'$1,568'",$14,"$421,400",5770000,3939,1,9,10
4,Los Angeles,"b'$2,293'",$17,"$689,700",3946000,6106,11,12,0
5,NYC,"b'$2,299'",$20,"$671,700",8558000,5243,13,6,12
6,San Francisco,"b'$4,526'",$15,"$1,355,200",884363,4362,6,14,100
7,Seattle,"b'$1,878'",$16,"$714,100",755745,2155,1,15,7
